cluster	gene
Fibroblast(Aorta)	Stk39
Fibroblast(Aorta)	Ttyh2
Fibroblast(Aorta)	Nfib
Fibroblast(Aorta)	Man2a1
Fibroblast(Aorta)	Phldb1
Fibroblast(Aorta)	Mlec
Fibroblast(Aorta)	Dpep1
Fibroblast(Aorta)	Apoa1bp
Fibroblast(Aorta)	Ctdsp2
Fibroblast(Aorta)	Ptplb
Fibroblast(Aorta)	Myl9
Fibroblast(Aorta)	Dmpk
Fibroblast(Aorta)	Man1a
Fibroblast(Aorta)	Etfa
Fibroblast(Aorta)	Itga11
Fibroblast(Aorta)	Magee1
Fibroblast(Aorta)	Atp6v0e2
Fibroblast(Aorta)	Cpxm2
Fibroblast(Aorta)	Map3k2
Fibroblast(Aorta)	Gm12824
Fibroblast(Aorta)	Cd99l2
Fibroblast(Aorta)	Atf5
Fibroblast(Aorta)	Arsb
Fibroblast(Aorta)	Ostc
Fibroblast(Aorta)	Ube2e2
Fibroblast(Aorta)	Olfml2a
Fibroblast(Aorta)	Bcl6
Fibroblast(Aorta)	Lepre1
Fibroblast(Aorta)	Itgbl1
Fibroblast(Aorta)	Galnt2
Fibroblast(Aorta)	Cnpy2
Fibroblast(Aorta)	Rtn4
Fibroblast(Aorta)	H47
Fibroblast(Aorta)	Bdh2
Fibroblast(Aorta)	Pptc7
Fibroblast(Aorta)	Anxa6
Fibroblast(Aorta)	Armcx3
Fibroblast(Aorta)	Cd44
Fibroblast(Aorta)	Me1
Fibroblast(Aorta)	Dpm3
Fibroblast(Aorta)	Gm14420
Fibroblast(Aorta)	Zfp395
Fibroblast(Aorta)	Mbtps1
Fibroblast(Aorta)	Man1a2
Fibroblast(Aorta)	Osbpl1a
Fibroblast(Aorta)	Extl2
Fibroblast(Aorta)	Ptpla
Fibroblast(Aorta)	Sec61a1
Fibroblast(Aorta)	Ndrg2
Fibroblast(Aorta)	Crlf1
Fibroblast(Aorta)	Fgfrl1
Fibroblast(Aorta)	Fxyd3
Fibroblast(Aorta)	S1pr2
Fibroblast(Aorta)	Rps8
Fibroblast(Aorta)	Ggcx
Fibroblast(Aorta)	Pkia
Fibroblast(Aorta)	Reep5
Fibroblast(Aorta)	Btd
Fibroblast(Aorta)	Gclc
